"Rank_name","Rank_Post","Rank_Name","Rank_Year","Rank_IMDbRating"
"43 ( 3)","https://m.media-amazon.com/images/M/MV5BMjI2NDIwNjk0OF5BMl5BanBnXkFtZTgwOTczNjE5NTM@._V1_UX45_CR0,0,45,67_AL_.jpg","It's Always Sunny in Philadelphia","(2005)","8.8"
"44 ( 2)","https://m.media-amazon.com/images/M/MV5BNDYyNzk1NzYwOF5BMl5BanBnXkFtZTgwMTQ0Nzc4MzI@._V1_UY67_CR2,0,45,67_AL_.jpg","Vikings","(2013)","8.6"
"45 (no change)","https://m.media-amazon.com/images/M/MV5BMjUwMDgzOTg3Nl5BMl5BanBnXkFtZTgwNTI4MDk5MzI@._V1_UX45_CR0,0,45,67_AL_.jpg","Stranger Things","(2016)","8.9"
"46 ( 9)","https://m.media-amazon.com/images/M/MV5BMjI1MDAwNDM4OV5BMl5BanBnXkFtZTgwNjUwNDIxNjM@._V1_UY67_CR4,0,45,67_AL_.jpg","The Flash","(2014)","7.9"
"47 ( 5)","https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY67_CR0,0,45,67_AL_.jpg","Friends","(1994)","8.9"
"48 ( 19)","https://m.media-amazon.com/images/M/MV5BMjMzNzM1MDI4NV5BMl5BanBnXkFtZTgwNjk1OTYzNjM@._V1_UY67_CR0,0,45,67_AL_.jpg","How to Get Away with Murder","(2014)","8.2"
"49 ( 12)","https://m.media-amazon.com/images/M/MV5BMTU0MTI0MDAyM15BMl5BanBnXkFtZTgwMDg5MzYyNTM@._V1_UY67_CR0,0,45,67_AL_.jpg","The Handmaid's Tale","(2017)","8.6"
"50 ( 2)","https://m.media-amazon.com/images/M/MV5BMTI5MjUyYjUtMzhmOC00NTc3LWIzMTctMTVlOTA2NjI2NDU2XkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UY67_CR0,0,45,67_AL_.jpg","Modern Family","(2009)","8.5"
"51 ( 4)","https://m.media-amazon.com/images/M/MV5BNmYyMjUwMjQtZmE4NC00NmEwLWE1MTAtMDE3OGE4ZmY1MzNlXkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_UX45_CR0,0,45,67_AL_.jpg","The Deuce","(2017)","8.1"
"52 ( 11)","https://m.media-amazon.com/images/M/MV5BYzg2ZDQ3MjctYTQxYy00NzljLWE5MTgtYzJiMmM5ZTMyYjNkXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UY67_CR0,0,45,67_AL_.jpg","The Purge","(2018)","6.2"
"53 ( 31)","https://m.media-amazon.com/images/M/MV5BNTU5NDQ3NDk1Nl5BMl5BanBnXkFtZTgwOTMwMjg5NTM@._V1_UY67_CR0,0,45,67_AL_.jpg","The Sinner","(2017)","8.0"
"54 ( 3)","https://m.media-amazon.com/images/M/MV5BMTkzNjEzMDEzMF5BMl5BanBnXkFtZTgwMDI0MjE4MjE@._V1_UY67_CR0,0,45,67_AL_.jpg","Peaky Blinders","(2013)","8.8"
"55 ( 3)","https://m.media-amazon.com/images/M/MV5BYTc1MmE1NGYtMzFlYS00YTNmLThjNmEtMjQ5NzY4NmJkZTIwXkEyXkFqcGdeQXVyODkxMzcxOTY@._V1_UY67_CR4,0,45,67_AL_.jpg","The Resident","(2018)","7.2"
"56 ( 10)","https://m.media-amazon.com/images/M/MV5BYmU2MTUyM2QtYmI2YS00OTY3LTk0YmQtMTk4ZGE1NGE1ZTNkXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UY67_CR0,0,45,67_AL_.jpg","Chicago Fire","(2012)","7.9"
